DeptCode,BCL Name,ProgramName,2019 Actuals,2020 Adopted,2021 Adopted
SPD,Criminal Investigations,Coordinated Criminal Investigations,0,6112668,6178985
SPD,Criminal Investigations,Criminal Investigations,13892039,23419742,23423601
SPD,Criminal Investigations,Narcotics Investigations,0,6606225,6671505
SPD,Criminal Investigations,Special Victims,0,9157213,8329748
SPD,Criminal Investigations,Violent Crimes,0,14399813,12876049
SPD,East Precinct,East Precinct,27812285,0,21197913
SPD,Leadership and Administration,Citywide Indirect Costs,0,23679789,22666661
SPD,Leadership and Administration,Departmental Indirect Costs,60612481,30950460,33482270
SPD,Leadership and Administration,Divisional Indirect Costs,17147595,15395858,18738939
SPD,North Precinct,North Precinct,38058605,0,30341841
SPD,Office of Police Accountability,Police Accountability,4205537,4693942,4824034
SPD,Patrol Operations,Patrol Operations,7933263,10937642,10083183
SPD,School Zone Camera Program,School Zone Camera Program,0,2131785,2131090
SPD,South Precinct,South Precinct,21209006,0,19541679
SPD,Southwest Precinct,Southwest Precinct,18343576,0,16410372
SPD,Special Operations,Special Operations,60722813,57635958,45897467.58
SPD,West Precinct,West Precinct,35943748,0,26651137
SPL,Administrative/Support Service,Administrative Services,467809,10273835,10770314
SPL,Administrative/Support Service,Business Office,4734547,0,-170000
SPL,Administrative/Support Service,Event Services,496650,0,-157500
SPL,Administrative/Support Service,FAC Services,8432821,1743000,1395000
SPL,Capital Improvements,Capital Improvements,5223998,4768000,9237000
SPL,Chief Librarian's Office,Chief Librarian's Office,705754,516178,493615
SPL,Human Resources,Human Resources,2107720,2338142,2111839
SPL,Institutional & Strategic Advancement,Institutional & Strategic Advancement,0,0,1493638
SPL,Library Program and Services,Collections and Access,18359127,6530000,5083630
SPL,Library Program and Services,Information Technology,5652597,1980000,1682909
SPL,Library Program and Services,Public Services,38197617,56495799,54971550
SPR,Building For The Future,Building For The Future - CIP,25806872,33291000,15998908
SPR,Debt and Special Funding,Debt and Special Funding,6295734,5233000,5629975
SPR,Departmentwide Programs,Departmentwide Other,1556295,1514086,1632370
SPR,Departmentwide Programs,Partnerships - Departmentwide,4847484,5217525,6941534
SPR,Departmentwide Programs,Seattle Conservation Corps,0,0,4230948
SPR,Fix It First,Fix It First - CIP,39208347,47852449,30994547
SPR,Golf Programs,Golf Course Programs,11662164,12309948,12380955
SPR,Leadership and Administration,Citywide Indirect Costs,13269457,12121935,12864138
SPR,Leadership and Administration,COVID Planning 2021,0,0,6420480
SPR,Leadership and Administration,Departmental Indirect Costs,11043514,12257138,12285719
SPR,Leadership and Administration,Divisional Indirect Costs,8245144,9110939,8623464
SPR,Leadership and Administration,Indirect Cost Recovery Offset,-3742031,-3879094,-4083616
SPR,Leadership and Administration,Pooled Benefits,3139669,2612301,3144933
SPR,Maintaining Parks and Facilities,Maintaining Parks & Facilities,160757,338000,346680
SPR,Parks and Facilities Maintenance and Repairs,CIP Cost Recovery Offset,0,0,-1039841
SPR,Parks and Facilities Maintenance and Repairs,M&R Grounds Crews,22202379,0,41664200
SPR,Parks and Facilities Maintenance and Repairs,M&R Shops Crews,11069287,0,21084080
SPR,Parks and Facilities Maintenance and Repairs,M&R Specialty Crews,5100970,0,8098666
SPR,Recreation Facility Programs,Aquatic & Swimming Programs,7891672,9011114,6555156
SPR,Recreation Facility Programs,Partnerships - Recreation,929628,1158073,1076157
SPR,Recreation Facility Programs,Rec Programs & Facility Ops,25390137,28271400,26507242
SPR,Zoo and Aquarium Programs,Zoo and Aquarium Programs,7013295,7125936,7459216
SPU,Combined Sewer Overflows,Combined Sewer Overflows,30181842,121148094,134109402
SPU,Distribution,Distribution,28969564,34136663,31095001
SPU,"Flooding, Sewer Backup & Landslide","Flooding, Sewer Backup & Lndsl",11087863,37252229,42898658
SPU,General Expense,Budget Reserves,489644,7909526,8914284
SPU,General Expense,Capital Purchases,56917,234175,238859
SPU,General Expense,Debt Service,165451847,179932891,170057449
SPU,General Expense,Major Contracts,283732444,292235325,308299579
SPU,General Expense,Taxes and Fees,135811167,141778458,161090218
SPU,Habitat Conservation Program,Habitat Conservation Program,645615,3488143,1474395
SPU,Leadership and Administration,Citywide Indirect Costs,62833193,62292309,62592009
SPU,Leadership and Administration,Departmental Indirect Costs,66173778,97268012,83286162
SPU,Leadership and Administration,Divisional Indirect Costs,1155732,1492703,1253337
SPU,Leadership and Administration,Indirect Cost Recovery Offset,-21918671,-20878653,-20302238
SPU,Leadership and Administration,Paid Time Off Indirect Costs,7904884,5656400,4443206
SPU,Leadership and Administration,Pooled Benefits Indirect Costs,4917172,6381850,8025203
SPU,New Facilities,New Facilities,4774627,18442478,19250000
SPU,Protection of Beneficial Uses,Protection of Beneficial Uses,5708258,22273994,21139104
SPU,Rehabilitation,Rehabilitation,35643529,40043724,38267638
SPU,Rehabilitation & Heavy Equipment,Rehabilitation & Heavy Eqpt,622676,8390000,1220000
SPU,Sediments,Sediments,3252025,3481934,3867219
SPU,Shared Cost Projects,Shared Cost Projects,24070205,81663847,69272585
SPU,Technology,Technology,8890410,11199999,12200099
SPU,Transmission,TRANSMISSION,2127355,15612322,20129412
SPU,Utility Service and Operations,Customer Service,19267612,26811448,24491609
SPU,Utility Service and Operations,Drainage System,7626695,10475721,10169240
SPU,Utility Service and Operations,DWW Facilities & Equip,2404638,789897,1277248
SPU,Utility Service and Operations,DWW System Operations,19117238,19777319,27281525
SPU,Utility Service and Operations,Emergency Response,1972256,2147041,2260259
SPU,Utility Service and Operations,Engineering,5616386,6529147,18127091
SPU,Utility Service and Operations,Pre-Capital Planning,4261367,4191666,4392736
SPU,Utility Service and Operations,Solid Waste Facilities & Equip,4187484,6020127,5983638
SPU,Utility Service and Operations,Solid Waste Operations,25029858,28185069,33571626
SPU,Utility Service and Operations,Wastewater System,10597458,13861807,12825670
SPU,Utility Service and Operations,Water Distribution System,11444810,14252581,12860675
SPU,Utility Service and Operations,Water Facilities & Equipment,0,3392850,2961111
SPU,Utility Service and Operations,Water Supply & Transmssn Systm,6016740,5991810,5285926
SPU,Utility Service and Operations,Water System Operations,19588753,18366588,29590414
SPU,Water Quality & Treatment,Water Quality & Treatment,438484,9525000,13214127
SPU,Water Resources,Water Resources,3007404,8464008,12031263
SPU,Watershed Stewardship,Watershed Stewardship,516171,1289569,298356
OEM,Office of Emergency Management,Office of Emergency Management,0,0,2483750
SECC,Seattle Emergency Communications Center,Seattle Emergency Communications Center,0,0,0
CEN,Leadership and Administration,CIP Indirect Costs,263402,0,0
DEEL,Leadership and Administration,Pooled Benefits,203696,0,0
DON,Community Building,Duwamish River Opportunity Fun,281586,249799,0
DON,Community Building,Find It Fix It,1501,30000,0
DON,Community Building,HALA,138306,0,0
DON,Donations Fund,Donations Fund,4867,0,0
FAS,BIA-LID Administration,BIA-LID Administration,25056775,0,0
FAS,Central Waterfront Improvement Program Financial Support,Prog-Central Waterfront Improv,1547298,0,0
FAS,FileLocal Agency,Prog-FileLocal Agency Fund,371035,0,0
FAS,Information Technology,Summit Re-Impl Dept Cap Needs,85830,0,0
FAS,Preliminary Engineering,Preliminary Engineering,31824,0,0
FAS,Publ Safety Facilities Police,Publ Safety Facilities_Police,1182315,0,0
FG,General Purpose,Reserves,38061436,0,0
FPEN,Firefighters Pension,Long-Term Care,1364401,0,0
HSD,Leadership and Administration,Citywide Indirect Costs,642,0,0
HSD,Leadership and Administration,Cost Pool,-301,0,0
HSD,Leadership and Administration,Divisional Indirect Costs,65041,0,0
HSD,Leadership and Administration,Indirect Cost Recovery,-33473,0,0
HSD,Leadership and Administration,Paid Time Off,-6399,0,0
HSD,Leadership and Administration,Pooled Benefits,154,0,0
ITD,Applications Services,Applications,28530666,0,0
ITD,Applications Services,Applications Maintenance,1733654,0,0
ITD,Applications Services,Cross Platform Services,6457999,0,0
ITD,Applications Services,Div Indirect - App Cost Recov,-1741883,0,0
ITD,Applications Services,Div Indirect - App Services,1610689,0,0
ITD,Applications Services,Shared Platforms,18185719,0,0
ITD,Cable Television Franchise Fund,Cable Franchise for Info Tech,9517368,0,0
ITD,Cable Television Franchise Fund,Cable Franchise for Library,642000,0,0
ITD,Capital Improvement Projects,Citywide IT Initiatives CIP,115070,79280,0
ITD,Capital Improvement Projects,Enterprise Compute Svcs CIP,3530553,0,0
ITD,Capital Improvement Projects,Tech Eng & Proj Mgmt CIP,3004416,0,0
ITD,Capital Improvement Projects,Telecommunications CIP,1647538,0,0
ITD,Client Services Management,Client Services Management,3406638,0,0
ITD,Digital Engagement,Broadband & Community Tech,2280697,0,0
ITD,Digital Engagement,Cable Communications,0,0,0
ITD,Digital Engagement,Digital Services,3679561,0,0
ITD,Digital Engagement,Open Data,788234,0,0
ITD,Digital Engagement,Privacy,813939,0,0
ITD,Digital Engagement,Seattle Channel,2933037,0,0
ITD,Engineering and Operations,Customer Support Services,24761747,0,0
ITD,Engineering and Operations,Div Indirect - E&O Cost Recov,-6139377,0,0
ITD,Engineering and Operations,Div Indirect - Eng & Ops,6332624,0,0
ITD,Engineering and Operations,Engineering & Ops Maintenance,1485622,0,0
ITD,Engineering and Operations,Enterprise Computing,20519280,0,0
ITD,Engineering and Operations,Network & Communications Tech,21590553,0,0
ITD,Engineering and Operations,Operations Support,7090107,0,0
ITD,IT Initiatives,Budget for Billed Services,3068586,0,0
ITD,IT Initiatives,Citywide IT Initiatives,1639642,0,0
ITD,IT Initiatives,Dept Operational Projects,21997418,0,0
ITD,IT Initiatives,Project Services,5448361,0,0
ITD,Leadership and Administration,Indirect Cost Recovery Offset,-4433751,0,0
ITD,"Security, Risk & Compliance","Security, Risk & Compliance",5385644,0,0
OCR,Civil Rights,Civil Rights,1304805,0,0
OED,Business Services,Business Services Budget Progr,9577962,0,0
OIR,Office of Intergovernmental Relations,Office of Intergovernmental Re,2831077,0,0
OLS,Office of Labor Standards,Business Outreach & Ed,96831,0,0
OLS,Office of Labor Standards,Community Outreach & Ed,1327761,0,0
OSE,Office of Sustainability and Environment,Office of Sustainability and E,10163301,0,0
PPEN,Police Relief and Pension,Long-Term Care,5363172,0,0
RET,UNASSIGNED,Pension Benefits Paid,218601831,0,0
SCL,Customer Service,CUST COMM REG ADMIN O&M,7404497,0,0
SCL,Customer Service,CUST COMM REG OPS O&M,69877282,0,0
SCL,Customer Service,CUST COMM REG SECRTY G&A O&M,1033240,0,0
SCL,Energy Innovation and Resources O&M,PWR MGT & STRATEGIC PLAN O&M,12207157,0,0
SCL,Leadership and Administration,ADMIN SVS ADMIN O&M,21116800,0,0
SCL,Leadership and Administration - General Expense,CITY ALLOCATIONS,62278290,58069530,0
SCL,Leadership and Administration - General Expense,DEPARTMENT WIDE COSTS,8484751,21988427,0
SCL,Leadership and Administration - General Expense,Indirect Cost Recovery,-110374186,-28689313,0
SCL,Leadership and Administration - General Expense,Pooled Benefits and PTO,72757812,3409482,0
SCL,Power System Operations and Asset Management O&M,ENG & TECH INNOVTN ADMIN O&M,8533648,0,0
SCL,Power System Operations and Asset Management O&M,ENG AND TECH INNOVTN OPS O&M,13498926,0,0
SCL,Transmission and Distribution O&M,TRANSMISSION & DIST ADMIN O&M,6671245,0,0
SCL,Transmission and Distribution O&M,XSMN & DIST FLEET 330 O&M,7819348,0,0
SCL,Transmission and Distribution O&M,XSMN & DIST PWR DIST OPS O&M,59656264,0,0
SDHR,HR Services,HR Service Delivery,1891121,0,0
SDHR,HR Services,Recruit Retent,2136362,0,0
SDOT,Central Waterfront,Alaskan Way Viaduct,21184333,0,0
SDOT,Major Projects,Mercer West,304967,0,0
SDOT,Major Projects,First Hill Streetcar,6339,0,0
SDOT,Mobility-Capital,Corridor & Intersection Impr,402110,0,0
SFD,Leadership and Administration,Pooled Benefits,6780,0,0
SPD,Narcotics Investigations,Narcotics Investigations,6070504,0,0
SPD,Special Fund Projects,Special Fund Projects,766419,0,0
SPD,Special Investigations,Special Investigations,9934310,0,0
SPD,Special Victims,Special Victims,8021775,0,0
SPD,Violent Crimes,Violent Crimes,9798857,0,0
SPL,Institutional & Strategic Advancement,Institutional & Strategic Adva,1982438,0,0
SPL,Leadership and Administration,Citywide Indirect Costs,0,0,0
SPL,Levy Operating Fund Transfer,Levy Operating Fund Transfer,4973000,0,0
SPR,2008 Parks Levy,08 Levy Cultural Facilities,1916574,0,0
SPR,2008 Parks Levy,08 Levy Opportunity Fund,612831,0,0
SPR,2008 Parks Levy,08 Levy Major Parks,380,0,0
SPR,2008 Parks Levy,08 Levy Neighborhood Park Acq,169541,0,0
SPR,2008 Parks Levy,08 Levy Parks and Playgrounds,1956765,0,0
SPR,2008 Parks Levy,08 Levy P-Patch Development,238,0,0
SPR,Parks and Open Space,Citywide Programs,1999912,2036388,0
SPR,Parks and Open Space,M&R - Parks & Open Space,21748162,24141389,0
SPR,Recreation Facility Programs,M&R - Recreation Facilities,4732748,4644157,0
SPR,Seattle Conservation Corps,Seattle Conservation Corps,3882891,4139623,0
SPR,SR520 Mitigation,SR520 Mitigation,4990289,0,0
SPU,Utility Service and Operations,Water Facilities & Equip,3294991,0,0
DON,Community Building,Healthy Food Fund,0,2500000,0
SPD,Patrol Operations,East Precinct,0,25378458,0
SPD,Patrol Operations,North Precinct,0,36378872,0
SPD,Patrol Operations,South Precinct,0,23730239,0
SPD,Patrol Operations,Southwest Precinct,0,19823685,0
SPD,Patrol Operations,West Precinct,0,31577797,0
